value_stream,process_step,step_number,total_steps,step_percentage,cycle_time_hours,exceptions_count,rework_required_pct,data_quality_score,automation_level_pct,primary_system,process_health,optimization_opportunity,gmp_relevant
Record to Report (R2R),Financial Statement Prep,6,6,100.0,2.47,1,19.7,0.768,87.1,SAP S/4HANA,Yellow,Process Streamlining,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,0.48,1,15.7,0.827,88.5,SAP ECC,Green,System Integration,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,3.02,2,25.2,0.911,38.7,SAP ECC,Red,System Integration,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,25.46,4,22.3,0.865,81.0,Cloud Platform,Green,Process Streamlining,Yes
Record to Report (R2R),Financial Statement Prep,6,6,100.0,2.04,5,7.2,0.924,34.8,SAP S/4HANA,Yellow,System Integration,Yes
Hire to Retire (H2R),Recruitment,1,8,12.5,7.72,4,49.9,0.965,82.1,SAP ECC,Yellow,Improve Data Quality,No
Hire to Retire (H2R),Recruitment,1,8,12.5,6.77,0,11.1,0.723,89.0,Legacy System,Green,Automate Manual Steps,No
Hire to Retire (H2R),Recruitment,1,8,12.5,5.05,4,17.7,0.625,19.5,Legacy System,Yellow,Improve Data Quality,No
Hire to Retire (H2R),Recruitment,1,8,12.5,1.19,1,15.2,0.721,96.3,SAP ECC,Red,Process Streamlining,No
Hire to Retire (H2R),Recruitment,1,8,12.5,1.97,4,12.2,0.905,22.3,SAP ECC,Yellow,Improve Data Quality,No
Hire to Retire (H2R),Recruitment,1,8,12.5,2.96,2,22.2,0.889,49.5,Legacy System,Yellow,Automate Manual Steps,No
Hire to Retire (H2R),Recruitment,1,8,12.5,1.7,2,15.5,0.848,24.6,Legacy System,Red,Process Streamlining,No
Hire to Retire (H2R),Recruitment,1,8,12.5,16.78,0,17.6,0.958,34.8,Cloud Platform,Red,System Integration,No
Hire to Retire (H2R),Recruitment,1,8,12.5,0.05,0,12.2,0.665,51.2,Cloud Platform,Red,System Integration,No
Hire to Retire (H2R),Recruitment,1,8,12.5,3.97,4,27.6,0.925,18.0,Legacy System,Red,Process Streamlining,No
Hire to Retire (H2R),Recruitment,1,8,12.5,9.49,4,33.2,0.545,20.7,SAP S/4HANA,Yellow,Process Streamlining,No
Hire to Retire (H2R),Recruitment,1,8,12.5,14.27,1,13.1,0.76,56.7,Cloud Platform,Yellow,Process Streamlining,No
Hire to Retire (H2R),Recruitment,1,8,12.5,0.18,2,2.8,0.859,25.4,Legacy System,Red,Improve Data Quality,No
Hire to Retire (H2R),Recruitment,1,8,12.5,0.0,0,19.5,0.657,94.5,SAP S/4HANA,Yellow,Improve Data Quality,No
Hire to Retire (H2R),Recruitment,1,8,12.5,1.93,3,33.5,0.821,47.5,SAP S/4HANA,Red,System Integration,No
Hire to Retire (H2R),Screening,2,8,25.0,8.29,2,11.1,0.897,36.1,SAP ECC,Green,System Integration,No
Hire to Retire (H2R),Screening,2,8,25.0,1.62,2,25.3,0.905,33.1,SAP ECC,Green,System Integration,No
Hire to Retire (H2R),Screening,2,8,25.0,9.95,2,7.7,0.854,90.6,SAP ECC,Green,Exception Handling,No
Hire to Retire (H2R),Screening,2,8,25.0,0.48,2,11.6,0.779,71.5,Cloud Platform,Green,Process Streamlining,No
Hire to Retire (H2R),Screening,2,8,25.0,0.91,1,8.2,0.73,35.7,Legacy System,Yellow,Process Streamlining,No
Hire to Retire (H2R),Screening,2,8,25.0,11.91,3,48.4,0.587,68.0,SAP ECC,Green,System Integration,No
Hire to Retire (H2R),Screening,2,8,25.0,3.0,0,14.0,0.978,29.3,SAP ECC,Green,Process Streamlining,No
Hire to Retire (H2R),Screening,2,8,25.0,2.81,0,5.5,0.795,63.1,SAP S/4HANA,Green,Process Streamlining,No
Hire to Retire (H2R),Screening,2,8,25.0,12.64,3,19.5,0.691,44.4,SAP S/4HANA,Red,Automate Manual Steps,No
Hire to Retire (H2R),Screening,2,8,25.0,2.18,1,25.8,0.853,85.4,SAP S/4HANA,Red,Automate Manual Steps,No
Hire to Retire (H2R),Screening,2,8,25.0,4.86,0,26.1,0.859,74.0,SAP ECC,Yellow,System Integration,No
Hire to Retire (H2R),Screening,2,8,25.0,2.35,3,9.2,0.711,38.2,Legacy System,Yellow,Process Streamlining,No
Hire to Retire (H2R),Screening,2,8,25.0,2.63,5,18.5,0.858,8.0,SAP ECC,Red,Automate Manual Steps,No
Hire to Retire (H2R),Screening,2,8,25.0,0.9,2,8.5,0.966,49.6,Cloud Platform,Red,Process Streamlining,No
Hire to Retire (H2R),Screening,2,8,25.0,34.76,2,5.6,0.913,72.6,Cloud Platform,Yellow,Improve Data Quality,No
Hire to Retire (H2R),Interview,3,8,37.5,3.63,1,7.5,0.837,56.7,Legacy System,Yellow,Process Streamlining,No
Hire to Retire (H2R),Interview,3,8,37.5,1.57,1,8.6,0.889,66.4,Cloud Platform,Green,System Integration,No
Hire to Retire (H2R),Interview,3,8,37.5,1.32,2,42.4,0.73,72.0,SAP ECC,Red,Exception Handling,No
Hire to Retire (H2R),Interview,3,8,37.5,7.7,2,2.4,0.918,45.0,SAP ECC,Red,Exception Handling,No
Hire to Retire (H2R),Interview,3,8,37.5,4.94,5,10.4,0.677,11.5,Legacy System,Yellow,Process Streamlining,No
Hire to Retire (H2R),Interview,3,8,37.5,21.66,2,18.4,0.899,21.8,SAP S/4HANA,Yellow,System Integration,No
Hire to Retire (H2R),Interview,3,8,37.5,19.19,2,12.2,0.78,22.0,SAP ECC,Yellow,Automate Manual Steps,No
Hire to Retire (H2R),Interview,3,8,37.5,7.23,4,11.6,0.934,38.7,SAP ECC,Yellow,Improve Data Quality,No
Hire to Retire (H2R),Interview,3,8,37.5,2.37,3,6.2,0.797,27.9,Cloud Platform,Yellow,Exception Handling,No
Hire to Retire (H2R),Interview,3,8,37.5,3.97,4,14.8,0.761,7.3,Cloud Platform,Green,Exception Handling,No
Hire to Retire (H2R),Interview,3,8,37.5,0.01,3,34.0,0.868,32.6,Legacy System,Red,Exception Handling,No
Hire to Retire (H2R),Interview,3,8,37.5,8.21,1,35.8,0.804,74.7,SAP S/4HANA,Yellow,Exception Handling,No
Hire to Retire (H2R),Interview,3,8,37.5,7.66,4,5.0,0.788,51.9,SAP S/4HANA,Red,Exception Handling,No
Hire to Retire (H2R),Interview,3,8,37.5,6.85,3,27.6,0.976,61.0,SAP S/4HANA,Yellow,Improve Data Quality,No
Hire to Retire (H2R),Interview,3,8,37.5,2.09,1,18.0,0.661,73.1,SAP S/4HANA,Yellow,Improve Data Quality,No
Hire to Retire (H2R),Offer,4,8,50.0,12.44,3,35.1,0.904,60.2,SAP S/4HANA,Green,Process Streamlining,No
Hire to Retire (H2R),Offer,4,8,50.0,1.12,1,23.8,0.68,38.2,SAP S/4HANA,Green,Automate Manual Steps,No
Hire to Retire (H2R),Offer,4,8,50.0,1.2,0,4.4,0.913,87.9,Legacy System,Red,Automate Manual Steps,No
Hire to Retire (H2R),Offer,4,8,50.0,0.08,4,33.3,0.956,85.3,Legacy System,Yellow,Process Streamlining,No
Hire to Retire (H2R),Offer,4,8,50.0,10.56,2,19.1,0.677,84.9,Legacy System,Red,Exception Handling,No
Hire to Retire (H2R),Offer,4,8,50.0,2.22,1,9.9,0.54,73.5,SAP S/4HANA,Red,Exception Handling,No
Hire to Retire (H2R),Offer,4,8,50.0,8.2,0,36.0,0.912,92.7,SAP S/4HANA,Red,Improve Data Quality,No
Hire to Retire (H2R),Offer,4,8,50.0,0.45,3,27.7,0.899,9.1,Legacy System,Yellow,Process Streamlining,No
Hire to Retire (H2R),Offer,4,8,50.0,0.1,2,23.0,0.617,23.7,Cloud Platform,Yellow,Improve Data Quality,No
Hire to Retire (H2R),Offer,4,8,50.0,10.21,1,9.2,0.77,81.1,SAP ECC,Red,Process Streamlining,No
Hire to Retire (H2R),Offer,4,8,50.0,12.54,4,31.9,0.853,18.3,Cloud Platform,Red,Automate Manual Steps,No
Hire to Retire (H2R),Offer,4,8,50.0,0.26,0,19.4,0.836,15.2,SAP S/4HANA,Yellow,Process Streamlining,No
Hire to Retire (H2R),Offer,4,8,50.0,1.45,1,29.5,0.876,24.3,Cloud Platform,Yellow,Process Streamlining,No
Hire to Retire (H2R),Offer,4,8,50.0,14.57,2,13.5,0.889,34.0,SAP S/4HANA,Red,Exception Handling,No
Hire to Retire (H2R),Offer,4,8,50.0,2.89,2,42.0,0.818,56.9,Cloud Platform,Yellow,Process Streamlining,No
Hire to Retire (H2R),Onboarding,5,8,62.5,12.97,3,1.4,0.95,40.5,Cloud Platform,Green,System Integration,No
Hire to Retire (H2R),Onboarding,5,8,62.5,5.57,1,6.0,0.865,19.1,SAP S/4HANA,Yellow,Exception Handling,No
Hire to Retire (H2R),Onboarding,5,8,62.5,19.78,1,50.0,0.812,53.0,Legacy System,Yellow,System Integration,No
Hire to Retire (H2R),Onboarding,5,8,62.5,4.4,4,5.3,0.825,58.6,SAP S/4HANA,Red,Improve Data Quality,No
Hire to Retire (H2R),Onboarding,5,8,62.5,4.99,2,16.2,0.799,80.9,Cloud Platform,Green,Process Streamlining,No
Hire to Retire (H2R),Onboarding,5,8,62.5,28.64,3,9.1,0.526,27.4,Legacy System,Green,Improve Data Quality,No
Hire to Retire (H2R),Onboarding,5,8,62.5,6.36,3,21.7,0.97,21.9,Legacy System,Green,Improve Data Quality,No
Hire to Retire (H2R),Onboarding,5,8,62.5,2.77,2,13.8,0.935,80.9,Legacy System,Green,Process Streamlining,No
Hire to Retire (H2R),Onboarding,5,8,62.5,20.49,1,32.1,0.775,57.6,Legacy System,Yellow,Exception Handling,No
Hire to Retire (H2R),Onboarding,5,8,62.5,2.04,2,10.0,0.753,11.9,Legacy System,Green,Improve Data Quality,No
Hire to Retire (H2R),Onboarding,5,8,62.5,0.36,3,38.0,0.791,63.3,SAP S/4HANA,Yellow,System Integration,No
Hire to Retire (H2R),Onboarding,5,8,62.5,4.49,4,15.4,0.924,27.6,Legacy System,Red,Exception Handling,No
Hire to Retire (H2R),Onboarding,5,8,62.5,9.46,3,8.6,0.751,48.9,Cloud Platform,Yellow,Process Streamlining,No
Hire to Retire (H2R),Onboarding,5,8,62.5,1.15,3,4.0,0.84,9.8,Cloud Platform,Green,System Integration,No
Hire to Retire (H2R),Onboarding,5,8,62.5,2.83,4,7.7,0.938,11.5,Cloud Platform,Red,Process Streamlining,No
Hire to Retire (H2R),Development,6,8,75.0,1.53,0,67.4,0.734,45.2,SAP S/4HANA,Yellow,Exception Handling,No
Hire to Retire (H2R),Development,6,8,75.0,1.37,2,9.1,0.84,32.1,Legacy System,Red,System Integration,No
Hire to Retire (H2R),Development,6,8,75.0,0.19,2,11.2,0.842,51.0,Legacy System,Red,Exception Handling,No
Hire to Retire (H2R),Development,6,8,75.0,0.05,4,6.8,0.73,31.1,SAP S/4HANA,Green,Exception Handling,No
Hire to Retire (H2R),Development,6,8,75.0,52.2,2,23.4,0.545,66.6,Legacy System,Green,Automate Manual Steps,No
Hire to Retire (H2R),Development,6,8,75.0,1.23,2,27.8,0.923,99.4,Cloud Platform,Green,Exception Handling,No
Hire to Retire (H2R),Development,6,8,75.0,19.82,0,31.4,0.826,20.9,Cloud Platform,Red,Exception Handling,No
Hire to Retire (H2R),Development,6,8,75.0,9.78,1,30.5,0.7,76.7,Cloud Platform,Yellow,Exception Handling,No
Hire to Retire (H2R),Development,6,8,75.0,46.03,4,48.4,0.725,76.8,Legacy System,Green,Improve Data Quality,No
Hire to Retire (H2R),Development,6,8,75.0,0.99,6,22.5,0.731,81.1,SAP S/4HANA,Red,Improve Data Quality,No
Hire to Retire (H2R),Development,6,8,75.0,3.11,2,30.3,0.606,98.0,SAP ECC,Green,Improve Data Quality,No
Hire to Retire (H2R),Development,6,8,75.0,6.26,1,28.6,0.914,4.2,SAP ECC,Green,Automate Manual Steps,No
Hire to Retire (H2R),Development,6,8,75.0,0.78,2,2.2,0.912,44.6,SAP ECC,Green,System Integration,No
Hire to Retire (H2R),Development,6,8,75.0,4.77,1,12.0,0.753,96.7,SAP ECC,Yellow,Process Streamlining,No
Hire to Retire (H2R),Development,6,8,75.0,1.9,1,23.3,0.741,7.7,SAP ECC,Red,System Integration,No
Hire to Retire (H2R),Performance Management,7,8,87.5,12.74,1,24.4,0.972,46.4,SAP S/4HANA,Green,Exception Handling,No
Hire to Retire (H2R),Performance Management,7,8,87.5,2.16,4,43.0,0.717,19.4,SAP S/4HANA,Green,Process Streamlining,No
Hire to Retire (H2R),Performance Management,7,8,87.5,1.82,1,15.5,0.937,38.4,SAP ECC,Green,Exception Handling,No
Hire to Retire (H2R),Performance Management,7,8,87.5,0.79,1,18.6,0.842,88.1,Legacy System,Yellow,Process Streamlining,No
Hire to Retire (H2R),Performance Management,7,8,87.5,3.49,2,21.4,0.834,82.8,Legacy System,Green,Process Streamlining,No
Hire to Retire (H2R),Performance Management,7,8,87.5,1.3,3,16.3,0.962,12.6,Legacy System,Red,Process Streamlining,No
Hire to Retire (H2R),Performance Management,7,8,87.5,35.94,1,10.2,0.619,74.0,Cloud Platform,Yellow,System Integration,No
Hire to Retire (H2R),Performance Management,7,8,87.5,12.03,1,16.7,0.814,34.3,SAP ECC,Yellow,Exception Handling,No
Hire to Retire (H2R),Performance Management,7,8,87.5,5.71,1,8.1,0.874,88.8,Legacy System,Yellow,Improve Data Quality,No
Hire to Retire (H2R),Performance Management,7,8,87.5,5.78,2,17.0,0.618,79.8,SAP ECC,Green,Process Streamlining,No
Hire to Retire (H2R),Performance Management,7,8,87.5,1.66,1,23.2,0.733,54.9,Cloud Platform,Yellow,System Integration,No
Hire to Retire (H2R),Performance Management,7,8,87.5,2.73,2,6.5,0.885,11.9,Legacy System,Yellow,Exception Handling,No
Hire to Retire (H2R),Performance Management,7,8,87.5,0.06,3,32.6,0.758,33.6,Legacy System,Yellow,Process Streamlining,No
Hire to Retire (H2R),Performance Management,7,8,87.5,2.63,4,15.5,0.686,47.4,SAP ECC,Red,Exception Handling,No
Hire to Retire (H2R),Performance Management,7,8,87.5,1.46,3,39.5,0.908,31.2,Legacy System,Red,System Integration,No
Hire to Retire (H2R),Exit,8,8,100.0,30.54,2,36.2,0.568,6.3,SAP S/4HANA,Green,System Integration,No
Hire to Retire (H2R),Exit,8,8,100.0,23.13,2,8.6,0.774,61.6,SAP S/4HANA,Yellow,Automate Manual Steps,No
Hire to Retire (H2R),Exit,8,8,100.0,25.94,3,14.0,0.83,36.3,SAP S/4HANA,Red,Process Streamlining,No
Hire to Retire (H2R),Exit,8,8,100.0,0.71,2,32.2,0.731,3.2,Cloud Platform,Red,Process Streamlining,No
Hire to Retire (H2R),Exit,8,8,100.0,0.23,3,17.8,0.831,26.5,Legacy System,Green,Automate Manual Steps,No
Hire to Retire (H2R),Exit,8,8,100.0,1.52,3,29.5,0.81,46.8,SAP S/4HANA,Yellow,Automate Manual Steps,No
Hire to Retire (H2R),Exit,8,8,100.0,14.56,3,8.7,0.649,6.5,Legacy System,Yellow,Process Streamlining,No
Hire to Retire (H2R),Exit,8,8,100.0,6.12,3,20.3,0.856,23.7,SAP S/4HANA,Yellow,Automate Manual Steps,No
Hire to Retire (H2R),Exit,8,8,100.0,2.77,3,20.6,0.962,65.8,SAP ECC,Red,Automate Manual Steps,No
Hire to Retire (H2R),Exit,8,8,100.0,6.75,1,20.7,0.816,31.5,SAP ECC,Yellow,Exception Handling,No
Hire to Retire (H2R),Exit,8,8,100.0,9.33,1,5.9,0.887,35.1,Legacy System,Red,Automate Manual Steps,No
Hire to Retire (H2R),Exit,8,8,100.0,9.69,3,18.3,0.887,40.0,SAP ECC,Green,Automate Manual Steps,No
Hire to Retire (H2R),Exit,8,8,100.0,26.35,4,31.4,0.748,64.2,SAP S/4HANA,Yellow,System Integration,No
Hire to Retire (H2R),Exit,8,8,100.0,0.42,1,7.3,0.665,21.6,Legacy System,Yellow,System Integration,No
Hire to Retire (H2R),Exit,8,8,100.0,3.05,1,45.2,0.611,58.7,Cloud Platform,Green,Improve Data Quality,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,1.69,3,41.8,0.651,48.4,Cloud Platform,Yellow,Automate Manual Steps,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,7.99,2,18.8,0.968,74.7,SAP S/4HANA,Green,Exception Handling,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,16.52,3,19.4,0.865,84.6,SAP ECC,Green,Improve Data Quality,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,2.77,2,53.6,0.943,3.6,Legacy System,Green,Automate Manual Steps,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,0.12,2,27.6,0.96,12.1,Legacy System,Red,Automate Manual Steps,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,5.75,3,12.6,0.938,0.0,Legacy System,Yellow,Exception Handling,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,2.37,3,4.0,0.833,77.0,SAP S/4HANA,Red,Automate Manual Steps,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,0.62,1,18.9,0.858,76.0,Cloud Platform,Yellow,Exception Handling,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,2.35,4,28.6,0.768,33.3,Cloud Platform,Green,Improve Data Quality,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,6.14,0,28.6,0.821,91.2,SAP S/4HANA,Red,System Integration,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,4.77,2,8.7,0.776,73.8,SAP ECC,Green,Exception Handling,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,0.06,1,16.9,0.892,16.0,Legacy System,Green,Automate Manual Steps,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,0.81,0,22.4,0.859,9.1,Legacy System,Red,Process Streamlining,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,3.13,0,7.8,0.898,8.1,Cloud Platform,Green,Improve Data Quality,No
Acquire to Decommission (A2D),Asset Request,1,7,14.3,0.84,4,21.0,0.712,25.7,Legacy System,Green,Process Streamlining,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,20.79,2,6.5,0.857,31.3,SAP ECC,Green,Exception Handling,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,4.92,3,15.9,0.924,56.0,SAP ECC,Green,System Integration,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,9.24,0,37.2,0.852,25.2,Cloud Platform,Red,Exception Handling,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,35.44,1,23.6,0.784,55.2,SAP S/4HANA,Green,System Integration,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,4.12,2,10.8,0.682,35.3,SAP S/4HANA,Yellow,Automate Manual Steps,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,2.84,2,17.2,0.715,67.0,Legacy System,Red,Exception Handling,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,6.78,5,9.5,0.918,56.6,SAP S/4HANA,Red,Improve Data Quality,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,0.89,1,27.5,0.716,13.8,Cloud Platform,Red,System Integration,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,13.58,1,0.9,0.812,91.3,SAP S/4HANA,Green,Process Streamlining,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,0.49,1,27.7,0.724,18.8,Legacy System,Yellow,Exception Handling,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,7.04,2,11.1,0.777,22.8,Legacy System,Green,Process Streamlining,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,6.27,0,12.6,0.904,25.7,SAP S/4HANA,Green,Process Streamlining,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,19.82,2,1.6,0.956,12.5,SAP S/4HANA,Yellow,Automate Manual Steps,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,7.85,0,19.4,0.84,77.6,SAP S/4HANA,Red,System Integration,No
Acquire to Decommission (A2D),Procurement,2,7,28.6,0.35,1,10.6,0.774,6.4,Cloud Platform,Yellow,System Integration,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,7.49,1,29.2,0.874,66.3,SAP ECC,Green,Process Streamlining,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,5.8,3,7.9,0.732,97.3,SAP ECC,Green,Improve Data Quality,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,6.06,0,6.8,0.892,22.5,SAP S/4HANA,Green,System Integration,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,0.25,0,10.3,0.598,36.4,SAP ECC,Green,Process Streamlining,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,14.55,1,13.5,0.929,99.1,Legacy System,Red,Process Streamlining,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,4.98,4,13.3,0.909,66.8,SAP ECC,Yellow,Improve Data Quality,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,6.16,1,9.0,0.853,17.8,SAP ECC,Green,System Integration,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,10.67,4,22.9,0.761,89.7,Legacy System,Red,Automate Manual Steps,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,1.3,2,21.6,0.767,38.3,Legacy System,Yellow,Automate Manual Steps,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,6.45,3,15.9,0.83,52.7,SAP ECC,Red,Automate Manual Steps,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,8.93,2,11.7,0.846,63.9,SAP ECC,Green,Process Streamlining,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,5.98,0,20.0,0.598,33.6,SAP ECC,Red,Improve Data Quality,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,7.54,3,22.3,0.849,37.4,SAP S/4HANA,Green,Process Streamlining,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,0.59,4,26.3,0.86,12.2,SAP S/4HANA,Red,Process Streamlining,No
Acquire to Decommission (A2D),Receipt,3,7,42.9,14.24,3,11.5,0.779,22.1,SAP ECC,Red,Process Streamlining,No
Acquire to Decommission (A2D),Activation,4,7,57.1,4.26,2,11.1,0.737,79.3,Legacy System,Red,System Integration,No
Acquire to Decommission (A2D),Activation,4,7,57.1,0.5,1,13.2,0.739,14.3,SAP S/4HANA,Green,Process Streamlining,No
Acquire to Decommission (A2D),Activation,4,7,57.1,1.81,3,3.1,0.687,36.8,Cloud Platform,Red,Improve Data Quality,No
Acquire to Decommission (A2D),Activation,4,7,57.1,2.84,0,27.3,0.945,32.7,Cloud Platform,Yellow,Process Streamlining,No
Acquire to Decommission (A2D),Activation,4,7,57.1,2.7,2,3.0,0.819,36.3,Cloud Platform,Yellow,System Integration,No
Acquire to Decommission (A2D),Activation,4,7,57.1,1.48,2,29.9,0.97,36.1,SAP S/4HANA,Red,Process Streamlining,No
Acquire to Decommission (A2D),Activation,4,7,57.1,7.11,3,10.0,0.873,38.7,Legacy System,Red,Exception Handling,No
Acquire to Decommission (A2D),Activation,4,7,57.1,0.72,3,33.1,0.824,38.0,Legacy System,Yellow,System Integration,No
Acquire to Decommission (A2D),Activation,4,7,57.1,0.29,2,3.4,0.973,59.0,SAP ECC,Yellow,Process Streamlining,No
Acquire to Decommission (A2D),Activation,4,7,57.1,4.95,2,18.7,0.846,87.7,SAP S/4HANA,Yellow,Automate Manual Steps,No
Acquire to Decommission (A2D),Activation,4,7,57.1,1.01,1,11.8,0.872,51.1,SAP S/4HANA,Green,Exception Handling,No
Acquire to Decommission (A2D),Activation,4,7,57.1,0.97,2,4.7,0.935,86.1,Cloud Platform,Red,Process Streamlining,No
Acquire to Decommission (A2D),Activation,4,7,57.1,9.33,4,42.5,0.966,47.9,SAP ECC,Green,System Integration,No
Acquire to Decommission (A2D),Activation,4,7,57.1,1.56,3,12.0,0.722,83.5,SAP S/4HANA,Green,Exception Handling,No
Acquire to Decommission (A2D),Activation,4,7,57.1,2.59,4,28.0,0.845,50.4,SAP S/4HANA,Green,Exception Handling,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,8.33,1,6.5,0.78,35.1,SAP ECC,Red,System Integration,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,4.58,3,22.4,0.712,28.2,SAP ECC,Red,Exception Handling,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,5.13,3,19.0,0.91,67.2,SAP S/4HANA,Yellow,Process Streamlining,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,12.45,1,39.0,0.649,57.0,Cloud Platform,Green,Process Streamlining,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,2.81,2,4.6,0.976,31.5,SAP ECC,Green,Exception Handling,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,1.02,1,9.0,0.919,69.2,Legacy System,Yellow,Automate Manual Steps,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,0.9,0,10.8,0.893,16.0,SAP ECC,Red,System Integration,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,1.11,0,22.9,0.84,13.3,Cloud Platform,Red,Automate Manual Steps,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,10.71,2,5.1,0.868,13.7,SAP S/4HANA,Yellow,Process Streamlining,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,2.68,3,26.7,0.821,85.8,SAP S/4HANA,Green,System Integration,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,0.61,0,16.8,0.95,25.2,SAP ECC,Green,System Integration,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,18.17,2,9.7,0.842,67.3,Legacy System,Green,Improve Data Quality,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,32.25,1,40.3,0.765,41.9,SAP ECC,Yellow,Process Streamlining,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,0.51,1,2.6,0.467,99.8,Legacy System,Yellow,Automate Manual Steps,No
Acquire to Decommission (A2D),Depreciation,5,7,71.4,7.31,2,32.5,0.625,40.8,Legacy System,Red,Improve Data Quality,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,6.58,2,4.5,0.65,37.3,Legacy System,Red,Improve Data Quality,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,18.12,3,10.9,0.788,11.7,Legacy System,Red,Process Streamlining,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,0.67,4,13.2,0.893,3.6,SAP S/4HANA,Green,Automate Manual Steps,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,8.65,1,18.2,0.713,60.0,Legacy System,Yellow,Process Streamlining,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,1.89,2,8.3,0.552,41.1,SAP ECC,Red,System Integration,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,23.95,2,25.6,0.883,42.2,Cloud Platform,Yellow,Improve Data Quality,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,5.33,2,10.8,0.899,58.6,Cloud Platform,Red,Automate Manual Steps,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,5.45,1,19.3,0.929,49.2,SAP S/4HANA,Yellow,Process Streamlining,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,3.55,0,12.5,0.874,68.6,SAP S/4HANA,Yellow,Automate Manual Steps,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,9.42,3,7.0,0.724,15.6,SAP S/4HANA,Red,Exception Handling,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,2.98,3,5.9,0.642,35.4,SAP ECC,Green,Automate Manual Steps,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,7.26,1,6.9,0.933,47.3,SAP S/4HANA,Yellow,Automate Manual Steps,No
Acquire to Decommission (A2D),Maintenance,6,7,85.7,17.97,4,4.1,0.95,35.0,SAP ECC,Yellow,System Integration,No
